"id","created_at","updated_at","deleted_at","name","shortly"
"1","2025-01-14 09:42:33.000",NULL,NULL,"แผนกประกอบ","AS"
"2","2025-01-14 09:42:47.000",NULL,NULL,"บริการจัดส่ง","DL"
"3","2025-01-14 09:42:50.000",NULL,NULL,"แม่พิมพ์","EN"
"4","2025-01-14 09:42:54.000",NULL,NULL,"ประกอบเครื่องใช้ไฟฟ้า","EW"
"5","2025-01-14 09:42:57.000",NULL,NULL,"บุคคล","HR"
"6","2025-01-14 09:42:59.000",NULL,NULL,"ฉีด","IJ"
"7","2025-01-14 09:43:02.000",NULL,NULL,"เทคโนโลยีสารสนเทศ","IT"
"8","2025-01-14 09:43:04.000",NULL,NULL,"การตลาด","MK"
"9","2025-01-14 09:43:13.000",NULL,NULL,"ซ่อมบำรุง","MN"
"10","2025-01-14 09:43:15.000",NULL,NULL,"ปั๊ม + กลึง","MT"
"11","2025-01-14 09:43:08.000",NULL,NULL,"NEW MODEL","PE"
"12","2025-01-14 09:43:19.000",NULL,NULL,"นับบรรจุ (WH)","PK"
"13","2025-01-14 09:43:21.000",NULL,NULL,"วางแผนส่วนกลาง","PL"
"14","2025-01-14 09:43:25.000",NULL,NULL,"พ่นสี,สกรีน","PS"
"15","2025-01-14 09:43:28.000",NULL,NULL,"จัดซื้อ,จัดหา","PU"
"16","2025-01-14 09:43:30.000",NULL,NULL,"ประกันคุณภาพ","QA"
"17","2025-01-14 09:43:33.000",NULL,NULL,"ตรวจสอบคุณภาพ","QC"
"18","2025-01-14 09:43:35.000",NULL,NULL,"ควบคุมคุณภาพนำเข้า","QI"
"19","2025-01-14 09:43:38.000",NULL,NULL,"ความปลอดภัย","SA"
"20","2025-01-14 09:43:40.000",NULL,NULL,"พัฒนาและบริหารระบบ","SM"
"21","2025-01-14 09:43:43.000",NULL,NULL,"คลังสินค้า","WH"
"22","2025-01-14 09:43:46.000",NULL,NULL,"บัญชี/การเงิน","AC"
"23","2025-01-14 10:04:52.000",NULL,NULL,"ฝ่ายผลิตโรงงาน","PD"
"24","2025-01-14 10:04:52.000",NULL,NULL,"สังคมและสิ่งแวดล้อม","CSR"
